state_name,county_name,census_tract_name,census_tract_geoid
Illinois,Cook County,Census Tract 5905,17031590500
Illinois,Cook County,Census Tract 5906,17031590600
Illinois,Cook County,Census Tract 6103,17031610300
Illinois,Cook County,Census Tract 6104,17031610400
Illinois,Cook County,Census Tract 6110,17031611000
Illinois,Cook County,Census Tract 6111,17031611100
Illinois,Cook County,Census Tract 6112,17031611200
Illinois,Cook County,Census Tract 6113,17031611300
Illinois,Cook County,Census Tract 6114,17031611400
Illinois,Cook County,Census Tract 6115,17031611500
Illinois,Cook County,Census Tract 6116,17031611600
Illinois,Cook County,Census Tract 6117,17031611700
Illinois,Cook County,Census Tract 6118,17031611800
Illinois,Cook County,Census Tract 6119,17031611900
Illinois,Cook County,Census Tract 6120,17031612000
Illinois,Cook County,Census Tract 6121,17031612100
Illinois,Cook County,Census Tract 6301,17031630100
Illinois,Cook County,Census Tract 6302,17031630200
Illinois,Cook County,Census Tract 6303,17031630300
Illinois,Cook County,Census Tract 6304,17031630400
Illinois,Cook County,Census Tract 6305,17031630500
Illinois,Cook County,Census Tract 6408,17031640800
Illinois,Cook County,Census Tract 6501,17031650100
Illinois,Cook County,Census Tract 6603.01,17031660301
Illinois,Cook County,Census Tract 6603.02,17031660302
Illinois,Cook County,Census Tract 6604,17031660400
Illinois,Cook County,Census Tract 6605,17031660500
Illinois,Cook County,Census Tract 6606,17031660600
Illinois,Cook County,Census Tract 6607,17031660700
Illinois,Cook County,Census Tract 6608,17031660800
Illinois,Cook County,Census Tract 6609,17031660900
Illinois,Cook County,Census Tract 6610,17031661000
Illinois,Cook County,Census Tract 6611,17031661100
Illinois,Cook County,Census Tract 6701,17031670100
Illinois,Cook County,Census Tract 6702,17031670200
Illinois,Cook County,Census Tract 6703,17031670300
Illinois,Cook County,Census Tract 6704,17031670400
Illinois,Cook County,Census Tract 6705,17031670500
Illinois,Cook County,Census Tract 6706,17031670600
Illinois,Cook County,Census Tract 6707,17031670700
Illinois,Cook County,Census Tract 6708,17031670800
Illinois,Cook County,Census Tract 6709,17031670900
Illinois,Cook County,Census Tract 6711,17031671100
Illinois,Cook County,Census Tract 6712,17031671200
Illinois,Cook County,Census Tract 6713,17031671300
Illinois,Cook County,Census Tract 6714,17031671400
Illinois,Cook County,Census Tract 6715,17031671500
Illinois,Cook County,Census Tract 6716,17031671600
Illinois,Cook County,Census Tract 6718,17031671800
Illinois,Cook County,Census Tract 6719,17031671900
Illinois,Cook County,Census Tract 6720,17031672000
Illinois,Cook County,Census Tract 6805,17031680500
Illinois,Cook County,Census Tract 6806,17031680600
