state,r3_funding_region,county,r3_zone_id,census_tract_name,census_tract_geoid,service_delivery_minimum_funding_amount,service_delivery_maximum_funding_amount,planning_grant_minimum_funding_amount,planning_grant_maximum_funding_amount,high_need_area
Illinois,Northwest Central,McLean County,634,Census Tract 13.03,17113001303,"$25,000 ","$858,668 ","$25,000 ","$95,408 ",No
Illinois,Northwest Central,McLean County,637,Census Tract 15,17113001500,"$25,000 ","$858,668 ","$25,000 ","$95,408 ",No
Illinois,Northwest Central,McLean County,638,Census Tract 16,17113001600,"$25,000 ","$858,668 ","$25,000 ","$95,408 ",Yes
Illinois,Northwest Central,McLean County,639,Census Tract 17,17113001700,"$25,000 ","$858,668 ","$25,000 ","$95,408 ",No
Illinois,Cook - Chicago Northern,Cook County,274,Census Tract 2209.01,17031220901,"$25,000 ","$809,000 ","$25,000 ","$89,889 ",No
Illinois,Cook - Chicago Northern,Cook County,273,Census Tract 2106.02,17031210602,"$25,000 ","$809,000 ","$25,000 ","$89,889 ",No
Illinois,Cook - Chicago Western,Cook County,320,Census Tract 2522.02,17031252202,"$25,000 ","$1,852,442 ","$25,000 ","$205,827 ",Yes
Illinois,Cook - Chicago Western,Cook County,318,Census Tract 2521.02,17031252102,"$25,000 ","$1,852,442 ","$25,000 ","$205,827 ",Yes
Illinois,Southern,Pulaski County,762,Census Tract 9711,17153971100,"$20,000 ","$270,124 ","$20,000 ","$30,014 ",Yes
Illinois,Cook - Suburban,Cook County,414,Census Tract 8206.05,17031820605,"$25,000 ","$2,166,010 ","$25,000 ","$240,668 ",No
Illinois,Cook - Chicago Southern,Cook County,217,Census Tract 8345,17031834500,"$25,000 ","$4,009,466 ","$25,000 ","$445,496 ",Yes
Illinois,Cook - Chicago Southern,Cook County,227,Census Tract 8359,17031835900,"$25,000 ","$4,009,466 ","$25,000 ","$445,496 ",Yes
Illinois,Cook - Chicago Southern,Cook County,228,Census Tract 8360,17031836000,"$25,000 ","$4,009,466 ","$25,000 ","$445,496 ",Yes
Illinois,Cook - Chicago Southern,Cook County,216,Census Tract 8344,17031834400,"$25,000 ","$4,009,466 ","$25,000 ","$445,496 ",No
Illinois,Cook - Chicago Southern,Cook County,215,Census Tract 8343,17031834300,"$25,000 ","$4,009,466 ","$25,000 ","$445,496 ",Yes
Illinois,Collar,Will County,543,Census Tract 9801,17197980100,"$25,000 ","$1,374,297 ","$25,000 ","$152,700 ",No
Illinois,Northeast Central,Champaign County,550,Census Tract 57.01,17019005701,"$25,000 ","$312,885 ","$25,000 ","$34,765 ",No
Illinois,Cook - Chicago Southern,Cook County,36,Census Tract 4301.02,17031430102,"$25,000 ","$4,009,466 ","$25,000 ","$445,496 ",No
Illinois,Cook - Chicago Southern,Cook County,35,Census Tract 4301.01,17031430101,"$25,000 ","$4,009,466 ","$25,000 ","$445,496 ",Yes
Illinois,Cook - Chicago Western,Cook County,317,Census Tract 2521.01,17031252101,"$25,000 ","$1,852,442 ","$25,000 ","$205,827 ",Yes
Illinois,Cook - Chicago Northern,Cook County,250,Census Tract 105.01,17031010501,"$25,000 ","$809,000 ","$25,000 ","$89,889 ",No
Illinois,Cook - Chicago Northern,Cook County,248,Census Tract 102.01,17031010201,"$25,000 ","$809,000 ","$25,000 ","$89,889 ",No
Illinois,Cook - Chicago Southern,Cook County,51,Census Tract 4402.01,17031440201,"$25,000 ","$4,009,466 ","$25,000 ","$445,496 ",Yes
Illinois,Cook - Chicago Southern,Cook County,104,Census Tract 5401.01,17031540101,"$25,000 ","$4,009,466 ","$25,000 ","$445,496 ",Yes
Illinois,Cook - Chicago Southern,Cook County,213,Census Tract 8340,17031834000,"$25,000 ","$4,009,466 ","$25,000 ","$445,496 ",Yes
Illinois,Cook - Chicago Southern,Cook County,212,Census Tract 8339,17031833900,"$25,000 ","$4,009,466 ","$25,000 ","$445,496 ",Yes
Illinois,Central,Sangamon County,689,Census Tract 6,17167000600,"$25,000 ","$728,093 ","$25,000 ","$80,899 ",No
Illinois,Central,Sangamon County,690,Census Tract 7,17167000700,"$25,000 ","$728,093 ","$25,000 ","$80,899 ",No
Illinois,Central,Sangamon County,691,Census Tract 8,17167000800,"$25,000 ","$728,093 ","$25,000 ","$80,899 ",Yes
Illinois,Central,Sangamon County,692,Census Tract 9,17167000900,"$25,000 ","$728,093 ","$25,000 ","$80,899 ",No
Illinois,Central,Sangamon County,697,Census Tract 18,17167001800,"$25,000 ","$728,093 ","$25,000 ","$80,899 ",Yes
Illinois,Central,Sangamon County,698,Census Tract 19,17167001900,"$25,000 ","$728,093 ","$25,000 ","$80,899 ",Yes
Illinois,Central,Sangamon County,699,Census Tract 23,17167002300,"$25,000 ","$728,093 ","$25,000 ","$80,899 ",Yes
Illinois,Central,Sangamon County,702,Census Tract 26,17167002600,"$25,000 ","$728,093 ","$25,000 ","$80,899 ",Yes
